8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9
28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29
76,77,76,77,76,77,76,77,78,79,76,77,78,79,76,77
72,73,72,73,72,73,72,73,72,73,72,73,72,73,72,73
16,17,16,17,16,17,16,17,18,19,16,17,18,19,16,17
36,37,36,37,36,37,36,37,38,39,36,37,38,39,36,37
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44
63,64,63,64,63,64,63,64,63,64,63,64,63,64,63,64
46,47,46,47,46,47,46,47,46,47,46,47,46,47,46,47
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
16,17,16,17,16,17,16,17,18,19,16,17,18,19,16,17
36,37,36,37,36,37,36,37,38,39,36,37,38,39,36,37
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
