player  1000x400
bot     600x900

        0   1   2   3   4   5   6   7   8   9   10


0       0   0   0   0   0   0   0   0   0   0   0
1       1   1   1   1   1   1   1   1   1   1   0
2       1   0   0   0   0   0   0   0   M   0   1
3       1   0   0   0   0   0   0   0   0   0   1
4       ?   0   0   0   0   0   0   0   0   0   1
5       1   0   0   0   0   0   0   0   0   0   1
6       1   0   0   0   0   B   0   0   0   0   1
7       1   0   0   0   0   0   0   0   0   0   ?
8       1   0   0   0   0   0   0   0   0   0   1
9       1   0   0   0   0   0   0   0   0   0   1
10      1   0   0   0   0   0   0   0   0   0   1
11      1   1   1   1   1   1   1   1   1   1   1

player deslocado: 14 indices
bot deslocado: 16 indices

========================================================

player 900x600
bot    ???????

        0   1   2   3   4   5   6   7   8   9   10


0       0   0   0   0   0   0   0   0   0   0   0
1       1   B   1   1   1   1   1   1   1   1   0
2       1   0   0   0   0   ?   0   0   0   0   1
3       1   0   0   0   0   0   0   0   0   0   1
4       ?   0   0   0   0   0   0   M   0   0   1
5       1   0   0   0   0   0   0   0   0   0   ?
6       1   0   0   0   0   0   0   0   0   0   1
7       1   0   0   0   0   0   0   0   0   0   ?
8       1   0   0   0   0   0   0   0   0   0   1
9       1   0   0   0   0   0   0   0   0   0   1
10      1   0   0   0   0   0   0   0   0   0   1
11      1   1   1   1   1   1   1   1   1   1   1

player deslocado: 13 indices
bot deslocado: 13 indices

